doy,clim_mean,clim_q10,clim_q90,clim_q01,clim_q99
341,5.330555555555556,-0.125,10.25,-1.815,18.639999999999993
342,4.631944444444445,-0.024999999999999994,9.850000000000001,-2.0075000000000003,13.69
343,4.868055555555555,-0.675,9.375,-2.63,14.319999999999997
344,5.231944444444444,0.975,9.825,-3.1024999999999996,11.899999999999997
345,5.538888888888889,0.9,10.75,-3.0874999999999995,13.794999999999998
346,5.226388888888889,0.75,10.075,-1.815,12.7525
347,5.179166666666666,1.6653345369377348e-16,10.649999999999999,-2.3099999999999996,13.447500000000002
348,5.188888888888889,0.15,10.674999999999999,-4.7775,15.925
349,5.338888888888889,1.4000000000000001,10.15,-4.385,14.802499999999991
350,5.290277777777778,0.1,9.350000000000001,-3.1724999999999994,12.219999999999999
351,5.0472222222222225,0.75,9.45,-4.132499999999999,13.639999999999992
352,5.658333333333333,0.95,11.225000000000001,-1.1024999999999998,14.4225
353,4.759722222222222,-0.27499999999999997,9.825,-2.7824999999999998,11.329999999999998
354,3.9111111111111114,-0.275,9.15,-2.01,10.4975
355,4.305555555555555,-0.85,10.024999999999999,-6.609999999999999,14.93
356,5.058333333333334,0.27500000000000013,11.55,-2.8,16.72249999999999
357,5.694444444444445,-0.25,12.5,-5.147500000000001,16.889999999999997
358,4.259722222222222,-2.5,8.4,-8.504999999999999,15.369999999999987
359,4.0680555555555555,-1.7,10.4,-4.75,15.97499999999999
360,3.6652777777777774,-1.7,8.2,-4.225,14.365
361,3.1486111111111112,-2.1500000000000004,7.975,-4.72,12.727499999999996
362,4.113888888888889,-2.075,10.2,-5.6525,12.889999999999999
363,5.325,-1.6500000000000001,9.825,-4.6875,13.817499999999994
364,5.127777777777777,-2.2,11.7,-4.2575,15.4475
365,4.658333333333333,-2.25,11.3,-5.905,12.145
366,6.266666666666667,0.8800000000000001,11.409999999999998,-1.892,13.606
